date,NO2
2023-10-01,5.7883008e-05
2023-10-02,5.682546e-05
2023-10-03,5.2678355e-05
2023-10-04,3.4597324e-05
2023-10-05,3.274599e-05
2023-10-06,3.2358286e-05
2023-10-07,4.270503e-05
2023-10-08,2.231044e-05
2023-10-09,3.3318756e-05
2023-10-10,5.2814383e-05
2023-10-11,4.2497613e-05
2023-10-12,2.9580407e-05
2023-10-13,4.5376884e-05
2023-10-14,2.37506e-05
2023-10-15,2.4502706e-05
2023-10-16,3.1951797e-05
2023-10-17,3.7211787e-05
2023-10-18,3.609495e-05
2023-10-19,3.3338987e-05
2023-10-20,3.9820858e-05
2023-10-21,6.649272e-05
2023-10-22,5.3543692e-05
2023-10-23,5.2864336e-05
2023-10-24,4.9458777e-05
2023-10-25,3.9845178e-05
2023-10-26,6.843432e-05
2023-10-27,4.084672e-05
2023-10-28,3.8652965e-05
2023-10-29,5.146901e-05
2023-10-30,4.352898e-05
2023-10-31,6.0382587e-05
2023-11-01,6.432162e-05
2023-11-02,4.0030416e-05
2023-11-03,3.848093e-05
2023-11-04,3.6931444e-05
2023-11-05,3.5381956e-05
2023-11-06,4.838772e-05
2023-11-07,7.210442e-05
2023-11-08,8.239942e-05
2023-11-09,7.430866e-05
2023-11-10,6.621789e-05
2023-11-11,6.19017465e-05
2023-11-12,5.7585603e-05
2023-11-13,5.7857535e-05
2023-11-14,6.0072834e-05
2023-11-15,6.388455e-05
2023-11-16,6.7696245e-05
2023-11-17,6.9612885e-05
2023-11-18,7.0257454e-05
2023-11-19,6.0722847e-05
2023-11-20,5.3532567e-05
2023-11-21,3.3247143e-05
2023-11-22,2.8690858e-05
2023-11-23,4.0636754e-05
2023-11-24,4.2724183e-05
2023-11-25,4.4811604e-05
2023-11-26,4.6899033e-05
2023-11-27,4.6143676e-05
2023-11-28,4.5388326e-05
2023-11-29,4.4632965e-05
2023-11-30,5.2036557e-05
2023-12-01,5.2367835e-05
2023-12-02,5.269911e-05
2023-12-03,5.3030384e-05
2023-12-04,5.2407922e-05
2023-12-05,5.178545e-05
2023-12-06,5.2003572e-05
2023-12-07,5.22217e-05
2023-12-08,5.172685e-05
2023-12-09,5.1231982e-05
2023-12-10,5.0632887e-05
2023-12-11,5.0033792e-05
2023-12-12,5.3924203e-05
2023-12-13,5.499785e-05
2023-12-14,5.612729e-05
2023-12-15,5.725673e-05
2023-12-16,5.8961417e-05
2023-12-17,5.0330345e-05
2023-12-18,5.4138036e-05
2023-12-19,4.894917e-05
2023-12-20,4.4349672e-05
2023-12-21,5.5426804e-05
2023-12-22,5.3332038e-05
2023-12-23,5.4616165e-05
2023-12-24,4.3170992e-05
2023-12-25,4.4209646e-05
2023-12-26,4.5248304e-05
2023-12-27,4.7325262e-05
2023-12-28,4.725786e-05
2023-12-29,4.899591e-05
2023-12-30,4.0694344e-05
2023-12-31,3.4726585e-05
2024-01-01,3.45706275e-05
2024-01-02,3.441467e-05
2024-01-03,3.2665354e-05
2024-01-04,3.0916046e-05
2024-01-05,3.300219e-05
2024-01-06,3.4855813e-05
2024-01-07,3.670944e-05
2024-01-08,3.8563066e-05
2024-01-09,4.0416693e-05
2024-01-10,4.9361737e-05
2024-01-11,4.7786107e-05
2024-01-12,2.1212725e-05
2024-01-13,3.602907e-05
2024-01-14,3.6910755e-05
2024-01-15,3.3909706e-05
2024-01-16,3.090866e-05
2024-01-17,2.7907616e-05
2024-01-18,2.490657e-05
2024-01-19,2.1905526e-05
2024-01-20,1.890448e-05
2024-01-21,1.8163699e-05
2024-01-22,2.8851531e-05
2024-01-23,2.768805e-05
2024-01-24,2.6524569e-05
2024-01-25,2.4499837e-05
2024-01-26,2.4700155e-05
2024-01-27,2.5278687e-05
2024-01-28,2.6303967e-05
2024-01-29,2.7329244e-05
2024-01-30,2.8255386e-05
2024-01-31,2.9181532e-05
2024-02-01,3.099783e-05
2024-02-02,3.0202602e-05
2024-02-03,2.9011286e-05
2024-02-04,2.7819975e-05
2024-02-05,2.616158e-05
2024-02-06,2.9937179e-05
2024-02-07,2.9457453e-05
2024-02-08,2.8977733e-05
2024-02-09,2.8498009e-05
2024-02-10,2.7076452e-05
2024-02-11,2.565489e-05
2024-02-12,2.5706393e-05
2024-02-13,2.7700835e-05
2024-02-14,3.098572e-05
2024-02-15,3.4270604e-05
2024-02-16,3.692174e-05
2024-02-17,3.630849e-05
2024-02-18,3.5128585e-05
2024-02-19,3.426505e-05
2024-02-20,3.2833934e-05
2024-02-21,3.353094e-05
2024-02-22,3.1395397e-05
2024-02-23,3.2007385e-05
2024-02-24,3.2619373e-05
2024-02-25,3.3231358e-05
2024-02-26,3.384335e-05
2024-02-27,3.299255e-05
2024-02-28,3.2972748e-05
2024-02-29,3.2952936e-05
2024-03-01,3.293313e-05
2024-03-02,3.4852772e-05
2024-03-03,3.5671732e-05
2024-03-04,3.7772035e-05
2024-03-05,3.9872335e-05
2024-03-06,4.1972642e-05
2024-03-07,4.2925203e-05
2024-03-08,3.9600574e-05
2024-03-09,3.766576e-05
2024-03-10,3.573094e-05
2024-03-11,3.3796117e-05
2024-03-12,3.1861295e-05
2024-03-13,2.9926483e-05
2024-03-14,2.7991662e-05
2024-03-15,2.6056843e-05
2024-03-16,2.460136e-05
2024-03-17,2.2623548e-05
2024-03-18,2.0645735e-05
2024-03-19,2.5004152e-05
2024-03-20,2.7288968e-05
2024-03-21,3.3370205e-05
2024-03-22,3.9451443e-05
2024-03-23,4.1806950499999996e-05
2024-03-24,4.4162458e-05
2024-03-25,4.4566004e-05
2024-03-26,4.4969558e-05
2024-03-27,3.9366983e-05
2024-03-28,3.7398022e-05
2024-03-29,3.5429068e-05
2024-03-30,3.251881e-05
2024-03-31,3.107563e-05
2024-04-01,3.5779205e-05
2024-04-02,4.0482784e-05
2024-04-03,4.6699548e-05
2024-04-04,4.3162265e-05
2024-04-05,3.8755454e-05
2024-04-06,3.8040773e-05
2024-04-07,3.565873e-05
2024-04-08,3.4345696e-05
2024-04-09,3.5147517e-05
2024-04-10,3.3226286e-05
2024-04-11,3.1305055e-05
2024-04-12,2.9383826e-05
2024-04-13,2.778768e-05
2024-04-14,3.3693195e-05
2024-04-15,3.6309702e-05
2024-04-16,3.5444285e-05
2024-04-17,3.4834855e-05
2024-04-18,3.4225424e-05
2024-04-19,3.1108928e-05
2024-04-20,3.3070068e-05
2024-04-21,3.3635093e-05
2024-04-22,3.4200122e-05
2024-04-23,3.476515e-05
2024-04-24,3.1280826e-05
2024-04-25,2.7796497e-05
2024-04-26,2.431217e-05
2024-04-27,2.6003803e-05
2024-04-28,3.713321e-05
2024-04-29,4.7935806e-05
2024-04-30,3.7713045e-05
2024-05-01,3.4437882e-05
2024-05-02,4.4980592e-05
2024-05-03,4.6394143e-05
2024-05-04,4.7807698e-05
2024-05-05,4.6546604e-05
2024-05-06,5.0885603e-05
2024-05-07,4.3669148e-05
2024-05-08,4.5078825e-05
2024-05-09,3.6694568e-05
2024-05-10,2.2588138e-05
2024-05-11,3.3119035e-05
2024-05-12,2.4266323e-05
2024-05-13,4.397517e-05
2024-05-14,4.845525e-05
2024-05-15,4.221899e-05
2024-05-16,3.9835468e-05
2024-05-17,3.11489e-05
2024-05-18,3.8115963e-05
2024-05-19,4.1039053e-05
2024-05-20,4.44272e-05
2024-05-21,4.8609527e-05
2024-05-22,6.0012637e-05
2024-05-23,5.019199e-05
2024-05-24,3.7119895e-05
2024-05-25,5.2015665e-05
2024-05-26,4.618557e-05
2024-05-27,3.8453232e-05
2024-05-28,2.5155045e-05
2024-05-29,2.9524323e-05
2024-05-30,4.3687338e-05
2024-05-31,3.296902e-05
2024-06-01,4.1783678e-05
2024-06-02,4.359814e-05
2024-06-03,4.54126e-05
2024-06-04,5.2430645e-05
2024-06-05,6.168095e-05
2024-06-06,4.587127e-05
2024-06-07,5.9282407e-05
2024-06-08,4.7242647e-05
2024-06-09,4.2943535e-05
2024-06-10,3.8644415e-05
2024-06-11,3.5829056e-05
2024-06-12,4.793073e-05
2024-06-13,5.1529747e-05
2024-06-14,4.607144e-05
2024-06-15,4.0613137e-05
2024-06-16,3.5154833e-05
2024-06-17,3.0735107e-05
2024-06-18,2.6315378e-05
2024-06-19,4.5633766e-05
2024-06-20,4.0082283e-05
2024-06-21,4.9828745e-05
2024-06-22,5.3684882e-05
2024-06-23,5.420986e-05
2024-06-24,5.4734835e-05
2024-06-25,5.525982e-05
2024-06-26,6.157845e-05
2024-06-27,3.278655e-05
2024-06-28,3.7124464e-05
2024-06-29,4.887876e-05
2024-06-30,7.258953e-05
2024-07-01,6.501257e-05
2024-07-02,5.7435613e-05
2024-07-03,4.9858652e-05
2024-07-04,4.2281692e-05
2024-07-05,3.4704735e-05
2024-07-06,3.0888048e-05
2024-07-07,4.4031727e-05
2024-07-08,5.11498e-05
2024-07-09,4.4938824e-05
2024-07-10,5.833283e-05
2024-07-11,6.95014e-05
2024-07-12,5.7580306e-05
2024-07-13,5.4812168e-05
2024-07-14,4.7042984e-05
2024-07-15,5.99572e-05
2024-07-16,7.572592e-05
2024-07-17,3.2132048e-05
2024-07-18,3.9782615e-05
